Date,AAPL,Google
1-Jun-07,122.04,580.11
2-Jul-07,131.76,645.90
1-Aug-07,138.48,599.39
4-Sep-07,153.47,592.64
1-Oct-07,189.95,515.04
1-Nov-07,182.22,540.96
3-Dec-07,198.08,603.69
2-Jan-08,135.36,506.38
1-Feb-08,125.02,529.02
3-Mar-08,143.50,544.10
1-Apr-08,173.95,586.76
1-May-08,188.75,613.40
2-Jun-08,167.44,600.36
1-Jul-08,158.95,593.97
1-Aug-08,169.53,555.71
2-Sep-08,113.66,613.70
1-Oct-08,107.59,525.79
3-Nov-08,92.67,450.02
1-Dec-08,85.35,484.85
2-Jan-09,90.13,444.95
2-Feb-09,89.31,485.63
2-Mar-09,105.12,525.70
1-Apr-09,125.83,567.12
1-May-09,135.81,526.80
1-Jun-09,142.43,529.94
1-Jul-09,163.39,619.98
3-Aug-09,168.21,583.00
1-Sep-09,185.35,536.12
1-Oct-09,188.50,495.85
2-Nov-09,199.91,461.67
1-Dec-09,210.73,443.05
4-Jan-10,192.06,421.59
1-Feb-10,204.62,417.23
1-Mar-10,235.00,395.97
1-Apr-10,261.09,348.06
3-May-10,256.88,337.99
1-Jun-10,251.53,338.53
1-Jul-10,257.25,307.65
2-Aug-10,243.10,292.96
1-Sep-10,283.75,359.36
1-Oct-10,300.98,400.52
1-Nov-10,311.15,463.29
1-Dec-10,322.56,473.75
3-Jan-11,339.32,526.42
1-Feb-11,353.21,585.80
1-Mar-11,348.51,574.29
1-Apr-11,350.13,440.47
2-May-11,347.83,471.18
1-Jun-11,335.67,564.30
1-Jul-11,390.48,691.48
1-Aug-11,384.83,693.00
1-Sep-11,381.32,707.00
3-Oct-11,404.78,567.27
1-Nov-11,382.20,515.25
1-Dec-11,405.00,510.00
3-Jan-12,456.48,522.70
1-Feb-12,542.44,497.91
1-Mar-12,599.55,471.38
2-Apr-12,583.98,458.16
1-May-12,577.73,449.45
1-Jun-12,584.00,501.50
