Date,MCD,X,MT,MSFT,AAPL,K,GE,BAC,PFE,XOM,^GSPC
07-02-01,37.57,84.74,44.84,25.53,84.61,43.45,28.97,44.68,19.57,64.2,1406.82
07-03-01,38.74,94.76,46.63,25.26,92.91,44.83,29.34,44.85,19.8,67.58,1420.86
07-04-02,41.52,97.03,47.1,27.14,99.8,46.12,30.59,44.74,20.74,71.1,1482.37
07-05-01,43.47,108.33,53.19,27.91,121.19,47.31,31.18,45.07,21.78,74.81,1530.62
07-06-01,43.65,104.1,55.32,26.8,122.04,45.39,32,43.45,20.26,75.45,1503.35
07-07-02,41.17,94.09,54.1,26.36,131.76,45.41,32.4,42.14,18.63,76.58,1455.27
07-08-01,42.35,90.65,58.99,26.22,138.48,48.42,32.49,45.04,19.92,77.42,1473.99
07-09-04,46.84,101.65,69.82,26.88,153.47,49.36,34.84,45.24,19.59,83.59,1526.75
07-10-01,51.38,103.53,71.24,33.59,189.95,46.53,34.63,43.45,19.73,83.08,1549.38
07-11-01,51.6,93.93,66.07,30.76,182.22,47.91,32.22,41.52,19.29,80.83,1481.14
07-12-03,51.99,116.25,69.23,32.59,198.08,46.48,31.46,37.67,18.45,84.94,1468.36
08-01-02,47.29,98.03,59.42,29.84,135.36,42.38,30.01,40.31,18.96,77.7,1378.55
08-02-01,48.08,104.53,68.04,25,125.02,45.24,28.38,36.28,18.34,79.23,1330.63
08-03-03,49.56,122.29,73.58,26.08,143.5,46.88,31.69,35.19,17.23,77.01,1322.7
08-04-01,52.94,148.39,80.14,26.21,173.95,45.64,28,34.85,16.55,84.74,1385.59
08-05-01,52.71,166.72,89.35,26.12,188.75,46.5,26.31,31.57,16.19,81.18,1400.38
08-06-02,50.28,178.37,89.45,25.38,167.44,43.09,23.11,22.59,14.61,80.6,1280
08-07-01,53.47,154.79,78.93,23.72,158.95,47.62,24.5,31.14,15.61,73.56,1267.38
08-08-01,55.79,128.73,70.99,25.27,169.53,49.16,24.33,29.48,16.25,73.55,1282.83
08-09-02,55.52,75.08,44.8,24.72,113.66,50.66,22.38,33.79,15.68,71.39,1166.36
08-10-01,52.13,35.68,23.82,20.68,107.59,45.53,17.12,23.34,15.06,68.14,968.75
08-11-03,53.33,29.69,21.48,18.85,92.67,39.22,15.07,15.69,14.21,74.1,896.24
08-12-01,56.46,36.33,22.74,18.13,85.35,39.91,14.49,13.9,15.32,73.81,903.25
09-01-02,52.67,29.32,20.87,15.94,90.13,39.77,10.85,6.5,12.61,70.71,825.88
09-02-02,47.87,19.38,18.02,15.16,89.31,35.74,7.84,3.9,10.88,63.09,735.09
09-03-02,50,20.81,18.69,17.25,105.12,33.64,9.31,6.75,12.04,63.28,797.87
09-04-01,48.83,26.15,21.99,19.02,125.83,38.67,11.65,8.84,11.81,61.95,872.81
09-05-01,54.05,33.63,31.13,19.74,135.81,40.03,12.41,11.16,13.58,64.83,919.14
09-06-01,53.11,35.26,31.04,22.46,142.43,43.1,10.88,13.08,13.41,65.35,919.32
09-07-01,50.86,39.22,33.82,22.22,163.39,43.96,12.44,14.66,14.24,65.8,987.48
09-08-03,52.41,43.24,33.61,23.42,168.21,43.93,12.9,17.43,15.08,65.03,1020.62
09-09-01,53.19,43.83,35.03,24.44,185.35,45.93,15.33,16.78,14.94,64.53,1057.08
09-10-01,54.62,34.07,32.09,26.34,188.5,48.09,13.32,14.46,15.37,67.4,1036.19
09-11-02,59.45,44.17,37.23,28.06,199.91,49.41,14.96,15.72,16.56,71.01,1095.63
09-12-01,58.69,54.52,43.37,29.09,210.73,49.99,14.22,14.94,16.58,64.5,1115.1
10-01-04,58.68,43.95,36.67,26.89,192.06,51.14,15.11,15.06,17.01,60.95,1073.87
10-02-01,60.53,52.42,36.4,27.49,204.62,49.36,15.19,16.53,16.15,61.89,1104.49
10-03-01,63.25,62.9,41.82,28.08,235,50.57,17.21,17.72,15.78,63.77,1169.43
10-04-01,66.92,54.12,36.99,29.28,261.09,52,17.84,17.7,15.38,64.52,1186.69
10-05-03,63.92,46.79,29.07,24.85,256.88,50.93,15.46,15.63,14.16,57.96,1089.41
10-06-01,62.97,38.21,25.65,22.16,251.53,47.95,13.72,14.28,13.26,54.71,1030.71
10-07-01,66.66,43.94,29.43,24.86,257.25,47.71,15.34,13.95,13.95,57.21,1101.6
10-08-02,70.36,42.16,27.96,22.72,243.1,47.74,13.78,12.38,14.96,57.07,1049.33
10-09-01,71.76,43.5,31.81,23.71,283.75,48.53,15.58,13.03,16.14,59.65,1141.2
10-10-01,74.9,42.39,31.24,25.82,300.98,48.29,15.36,11.39,16.38,64.19,1183.26
10-11-01,76,48.28,30.73,24.61,311.15,47.7,15.18,10.89,15.48,67.58,1180.55
10-12-01,74.51,58.02,36.99,27.19,322.56,49.49,17.67,13.28,16.63,71.04,1257.64
11-01-03,71.51,57.28,35.38,27.01,339.32,48.73,19.46,13.66,17.3,78.38,1286.12
11-02-01,74.06,57.15,35.75,26.05,353.21,52.29,20.35,14.22,18.47,83.53,1327.22
11-03-01,74.46,53.62,35.24,24.88,348.51,52.7,19.51,13.28,19.49,82.16,1325.83
11-04-01,76.63,47.43,36.14,25.4,350.13,55.91,19.9,12.23,20.13,85.92,1363.61
11-05-02,80.39,45.89,32.79,24.67,347.83,56.04,19.11,11.7,20.79,81.98,1345.2
11-06-01,83.13,45.82,34.08,25.64,335.67,54.4,18.5,10.92,19.96,79.93,1320.64
11-07-01,85.26,39.8,30.54,27.02,390.48,54.85,17.57,9.68,18.65,78.37,1292.28
11-08-01,89.74,30.01,21.74,26.4,384.83,53.84,16,8.15,18.6,73.18,1218.89
11-09-01,87.16,21.94,15.74,24.7,381.32,52.72,15.07,6.11,17.32,71.81,1131.42
11-10-03,92.16,25.27,20.51,26.43,404.78,53.73,16.55,6.82,18.87,77.2,1253.3
11-11-01,95.52,27.26,18.89,25.58,382.2,49.16,15.76,5.44,19.86,80,1246.96
11-12-01,100.33,26.42,18.19,25.96,405,50.57,17.91,5.56,21.42,84.3,1257.6
12-01-03,99.05,30.14,20.52,29.53,456.48,49.52,18.71,7.13,21.18,83.28,1312.41
12-02-01,99.99,31.01,23.3,30.77,493.17,50.21,19.13,8.18,21.14,84.88,1351.95
